Validation Loss
3.2621
3.5261
3.1174
3.0982
3.1017
3.4983
3.3133
3.9047
4.0856
3.7547

BLEU 2 Custpm (comparable to baseline)
0.3983732696227222
0.4334441271270697
0.3817534698981239
0.46455184838956076
0.4219304002601717 
0.44833162964011025
0.45664575324157136
0.4473875255667947
0.43022580977643976
0.4567888841025141
